lat,lon,h
35.61526696,139.2998317,9.169175281
35.61526696,139.2998317,9.708538532
35.61526696,139.2998317,10.24790178
35.61526836,139.2998355,10.85558438
35.61527186,139.2998449,11.565746
35.61527536,139.2998544,12.27590761
35.61527886,139.2998638,12.98606923
35.61528236,139.2998732,13.69623084
35.61528586,139.2998827,14.40639246
35.61528936,139.2998921,15.11655407
35.61529285,139.2999015,15.82671569
35.61529635,139.299911,16.5368773
35.61529985,139.2999204,17.24703892
35.61530335,139.2999298,17.95720053
35.61530685,139.2999392,18.66736214
35.61531035,139.2999487,19.37752376
35.61531384,139.2999581,20.08768537
35.61531664,139.2999657,20.76368732
35.61531734,139.2999675,21.28327392
35.61531944,139.2999732,21.97905251
35.61532154,139.2999789,22.62089478
35.61532259,139.2999817,23.21149754
35.61532504,139.2999883,23.87041965
35.61532644,139.2999921,24.47810224
35.61532714,139.2999939,25.05162517
35.61532854,139.2999977,25.65930777
35.61533064,139.3000034,26.30115004
35.61533344,139.3000109,26.97715198
35.61533658,139.3000194,27.61629743
